step_arrived;step_collisions;step_duration;step_ended;step_halting;step_inserted;step_loaded;step_meanSpeed;step_meanSpeedRelative;step_meanTravelTime;step_meanWaitingTime;step_running;step_stopped;step_teleports;step_time;step_waiting
0;0;1;0;0;0;1;-1.00;-1.00;-1.00;-1.00;0;0;0;0.00;0
0;0;1;0;0;0;1;-1.00;-1.00;-1.00;-1.00;0;0;0;1.00;0
0;0;0;0;0;0;1;-1.00;-1.00;-1.00;-1.00;0;0;0;2.00;0
0;0;27;0;0;1;94;23.55;1.06;-1.00;1.00;1;0;0;3.00;0
0;0;0;0;0;1;94;23.05;1.04;-1.00;1.00;1;0;0;4.00;0
0;0;1;0;0;2;94;24.32;0.98;-1.00;1.00;2;0;0;5.00;0
0;0;0;0;0;2;94;24.48;0.99;-1.00;1.00;2;0;0;6.00;0
0;0;0;0;0;2;94;24.16;0.97;-1.00;1.00;2;0;0;7.00;0
0;0;1;0;0;2;94;24.67;0.99;-1.00;1.00;2;0;0;8.00;0
0;0;0;0;0;2;94;23.96;0.96;-1.00;1.00;2;0;0;9.00;0
0;0;0;0;0;2;94;23.79;0.96;-1.00;1.00;2;0;0;10.00;0
0;0;0;0;0;3;94;25.83;1.00;-1.00;1.00;3;0;0;11.00;0
0;0;0;0;0;4;94;24.68;1.00;-1.00;1.00;4;0;0;12.00;0
0;0;1;0;0;4;94;23.39;0.95;-1.00;1.00;4;0;0;13.00;0
0;0;0;0;0;4;94;22.52;0.91;-1.00;1.00;4;0;0;14.00;0
0;0;0;0;0;5;94;23.14;0.92;-1.00;1.00;5;0;0;15.00;0
0;0;1;0;0;5;94;22.21;0.88;-1.00;1.00;5;0;0;16.00;0
0;0;0;0;0;7;94;21.76;0.87;-1.00;1.00;7;0;0;17.00;0
0;0;1;0;0;7;94;21.11;0.85;-1.00;1.00;7;0;0;18.00;0
0;0;1;0;1;9;94;21.37;0.86;-1.00;1.00;9;0;0;19.00;0
0;0;1;0;1;10;94;21.17;0.84;-1.00;1.00;10;0;0;20.00;0
0;0;0;0;1;10;94;20.42;0.81;-1.00;1.00;10;0;0;21.00;0
0;0;2;0;1;11;94;21.03;0.83;-1.00;1.00;11;0;0;22.00;0
0;0;17;0;1;12;94;21.30;0.83;-1.00;1.00;12;0;0;23.00;0
0;0;2;0;1;14;94;21.75;0.84;-1.00;1.00;14;0;0;24.00;0
0;0;2;0;1;15;94;21.78;0.83;-1.00;1.00;15;0;0;25.00;0
0;0;5;0;1;16;94;21.47;0.82;-1.00;1.00;16;0;0;26.00;0
0;0;1;0;1;16;94;20.91;0.79;-1.00;1.00;16;0;0;27.00;0
0;0;1;0;1;17;94;20.45;0.78;-1.00;1.00;17;0;0;28.00;0
0;0;1;0;1;17;94;19.82;0.76;-1.00;1.00;17;0;0;29.00;0
0;0;1;0;1;17;94;19.20;0.74;-1.00;1.00;17;0;0;30.00;0
0;0;2;0;1;17;94;18.91;0.73;-1.00;1.00;17;0;0;31.00;0
0;0;1;0;1;17;94;18.23;0.70;-1.00;1.00;17;0;0;32.00;0
0;0;2;0;1;18;94;17.60;0.67;-1.00;1.00;18;0;0;33.00;0
0;0;2;0;1;18;94;16.50;0.64;-1.00;1.00;18;0;0;34.00;0
0;0;1;0;3;19;94;15.85;0.61;-1.00;0.95;19;0;0;35.00;0
0;0;1;0;3;19;94;14.40;0.56;-1.00;0.95;19;0;0;36.00;0
0;0;3;0;4;21;94;14.58;0.57;-1.00;0.95;21;0;0;37.00;0
0;0;3;0;6;22;94;14.58;0.57;-1.00;0.95;22;0;0;38.00;0
0;0;1;0;6;22;94;13.54;0.53;-1.00;0.95;22;0;0;39.00;0
0;0;0;0;6;23;94;13.00;0.51;-1.00;0.96;23;0;0;40.00;0
0;0;1;0;7;23;94;12.49;0.49;-1.00;0.96;23;0;0;41.00;0
0;0;2;0;8;23;94;12.62;0.50;-1.00;0.96;23;0;0;42.00;0
1;0;1;1;8;23;94;12.27;0.49;24.00;0.96;22;0;0;43.00;0
1;0;3;1;8;23;94;11.70;0.46;24.00;0.96;22;0;0;44.00;0
1;0;3;1;4;24;94;11.64;0.46;24.00;0.96;23;0;0;45.00;0
1;0;1;1;3;24;94;10.85;0.43;24.00;0.96;23;0;0;46.00;0
