tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime;emissions_CO2_abs;emissions_CO_abs;emissions_HC_abs;emissions_NOx_abs;emissions_PMx_abs;emissions_electricity_abs;emissions_fuel_abs
43.00;192591565#2_0;258.68;25.44;19.00;0.03;29181613#1_0;5.10;26.05;tripinfo_746 emissions_746 ssm_746 fcd_746;24.00;746;0;523.09;0.94;0.00;3.06;DEFAULT_VEHTYPE;;0;0.00;128466.56;1833.82;12.27;52.30;13.31;0.00;41646.58
51.00;305873958#3-AddedOnRampEdge_2;99.87;23.30;12.00;0.88;28718647#1_0;5.10;24.06;tripinfo_244 emissions_244 ssm_244 fcd_244;39.00;244;0;775.35;1.08;0.00;6.55;DEFAULT_VEHTYPE;;0;0.00;173306.92;2147.57;14.43;67.55;19.93;0.00;56183.29
53.00;192591565#2_0;258.68;28.19;3.00;0.17;28718647#1_0;5.10;23.55;tripinfo_282 emissions_282 ssm_282 fcd_282;50.00;282;0;1006.64;1.06;0.00;9.93;DEFAULT_VEHTYPE;;0;0.00;265292.63;3612.81;24.16;106.98;27.77;0.00;86003.23
58.00;305873958#3-AddedOnRampEdge_2;99.87;22.07;17.00;0.28;28718647#1_0;5.10;23.24;tripinfo_87 emissions_87 ssm_87 fcd_87;41.00;87;0;775.35;1.05;0.00;6.89;DEFAULT_VEHTYPE;;0;0.00;166791.03;1981.78;13.31;64.30;18.96;0.00;54070.96
66.00;305873958#3-AddedOnRampEdge_3;99.87;22.54;23.00;0.18;690516091#0_0;5.10;28.51;tripinfo_1394 emissions_1394 ssm_1394 fcd_1394;43.00;1394;0;654.28;1.03;0.00;16.28;DEFAULT_VEHTYPE;;1;3.00;189125.92;2036.76;13.64;70.78;16.64;0.00;61311.56
71.00;305873958#3-AddedOnRampEdge_3;99.87;20.30;33.00;0.86;690516091#0_0;5.10;26.15;tripinfo_1384 emissions_1384 ssm_1384 fcd_1384;38.00;1384;0;654.28;0.94;0.00;8.84;DEFAULT_VEHTYPE;;0;0.00;154775.25;1664.40;11.17;57.77;15.85;0.00;50175.72
76.00;305873958#3-AddedOnRampEdge_0;99.87;18.75;48.00;0.05;29181613#1_1;5.10;24.24;tripinfo_769 emissions_769 ssm_769 fcd_769;28.00;769;0;477.81;0.87;0.00;3.72;DEFAULT_VEHTYPE;;0;0.00;97941.83;1023.38;6.86;37.22;11.41;0.00;31751.29
78.00;10873193#2_0;224.37;21.91;15.00;0.93;50211834#0_0;5.10;28.62;tripinfo_1578 emissions_1578 ssm_1578 fcd_1578;63.00;1578;0;825.23;1.03;0.00;28.18;DEFAULT_VEHTYPE;;2;14.00;224093.48;2257.01;15.10;85.85;19.21;0.00;72647.62
80.00;305873958#3-AddedOnRampEdge_3;99.87;23.09;37.00;0.65;690516091#0_0;5.10;32.17;tripinfo_1286 emissions_1286 ssm_1286 fcd_1286;43.00;1286;0;654.28;1.16;0.00;19.18;DEFAULT_VEHTYPE;;1;3.00;171771.16;1898.82;12.69;65.21;13.85;0.00;55685.26
81.00;10873193#2_0;224.37;23.83;22.00;0.24;50211834#0_0;5.10;30.30;tripinfo_1596 emissions_1596 ssm_1596 fcd_1596;59.00;1596;0;825.23;1.09;0.00;25.59;DEFAULT_VEHTYPE;;2;6.00;232131.03;2424.91;16.31;86.94;22.33;0.00;75253.03
88.00;10873193#2_0;224.37;18.20;20.00;0.39;29181613#1_1;5.10;23.80;tripinfo_411 emissions_411 ssm_411 fcd_411;68.00;411;0;791.06;0.86;0.00;27.48;DEFAULT_VEHTYPE;;1;10.00;210032.48;1712.12;11.44;76.59;18.87;0.00;68089.44
89.00;10873193#2_0;224.37;20.38;24.00;0.95;29181613#1_0;5.10;29.09;tripinfo_390 emissions_390 ssm_390 fcd_390;65.00;390;0;791.06;1.05;0.00;31.83;DEFAULT_VEHTYPE;;1;8.00;210372.00;1749.86;11.70;75.82;17.56;0.00;68199.43
91.00;10873193#2_0;224.37;21.30;25.00;0.56;50211834#0_0;5.10;27.54;tripinfo_1425 emissions_1425 ssm_1425 fcd_1425;66.00;1425;0;822.42;0.99;0.00;29.10;DEFAULT_VEHTYPE;;3;7.00;235001.29;2163.39;14.49;86.70;20.89;0.00;76183.66
93.00;192591565#2_0;258.68;30.11;71.00;0.28;29181613#1_0;5.10;30.62;tripinfo_594 emissions_594 ssm_594 fcd_594;22.00;594;0;523.09;1.10;0.00;3.20;DEFAULT_VEHTYPE;;0;0.00;162348.45;2617.54;17.59;68.40;17.93;0.00;52630.39
94.00;305873958#3-AddedOnRampEdge_3;99.87;20.06;56.00;0.61;690516091#0_0;5.10;25.87;tripinfo_1324 emissions_1324 ssm_1324 fcd_1324;38.00;1324;0;654.28;0.93;0.00;8.58;DEFAULT_VEHTYPE;;0;0.00;158078.99;1798.38;12.04;59.73;15.62;0.00;51246.63
100.00;305873958#3-AddedOnRampEdge_0;99.87;22.54;77.00;0.95;29181613#1_0;5.10;28.62;tripinfo_708 emissions_708 ssm_708 fcd_708;23.00;708;0;477.81;1.03;0.00;2.54;DEFAULT_VEHTYPE;;0;0.00;107213.17;1451.64;9.73;43.16;11.82;0.00;34756.70
105.00;10873193#2_0;224.37;19.83;5.00;0.23;29181613#1_0;5.10;26.07;tripinfo_518 emissions_518 ssm_518 fcd_518;100.00;518;0;791.06;0.94;0.00;64.18;DEFAULT_VEHTYPE;;4;33.00;312585.95;2216.19;14.81;112.65;21.40;0.00;101335.73
105.00;10873193#2_2;224.37;18.08;47.00;0.10;29181613#1_0;5.10;22.94;tripinfo_569 emissions_569 ssm_569 fcd_569;58.00;569;0;791.06;0.83;0.00;15.81;DEFAULT_VEHTYPE;;0;0.00;194369.25;1727.68;11.51;69.96;17.23;0.00;63011.44
106.00;10873193#2_1;224.37;18.92;38.00;0.30;29181613#1_0;5.10;28.06;tripinfo_525 emissions_525 ssm_525 fcd_525;68.00;525;0;791.06;1.01;0.00;34.43;DEFAULT_VEHTYPE;;3;4.00;251787.22;2234.99;14.83;91.18;17.49;0.00;81625.15
115.00;192591565#2_0;258.68;30.11;93.00;0.49;29181613#1_0;5.10;30.22;tripinfo_904 emissions_904 ssm_904 fcd_904;22.00;904;0;523.09;1.09;0.00;3.78;DEFAULT_VEHTYPE;;0;0.00;159609.91;2606.01;17.40;67.96;15.16;0.00;51742.39
121.00;305873958#3-AddedOnRampEdge_2;99.87;23.53;82.00;0.37;28718647#1_0;5.10;24.26;tripinfo_110 emissions_110 ssm_110 fcd_110;39.00;110;0;775.35;1.09;0.00;6.68;DEFAULT_VEHTYPE;;0;0.00;176299.16;2218.54;14.89;68.85;19.62;0.00;57153.26
122.00;192591565#2_0;258.68;23.72;96.00;0.10;29181613#1_0;5.10;25.02;tripinfo_912 emissions_912 ssm_912 fcd_912;26.00;912;0;523.09;0.90;0.00;3.38;DEFAULT_VEHTYPE;;0;0.00;133393.01;1801.00;12.06;53.62;14.41;0.00;43243.74
131.00;10873193#2_0;224.37;19.30;45.00;0.01;50211834#0_0;5.10;24.71;tripinfo_1413 emissions_1413 ssm_1413 fcd_1413;86.00;1413;0;822.42;0.89;0.00;46.25;DEFAULT_VEHTYPE;;2;32.00;251123.05;1859.20;12.48;92.74;20.76;0.00;81410.57
133.00;10873193#2_0;224.37;20.77;52.00;0.67;50211834#0_1;5.10;26.36;tripinfo_1443 emissions_1443 ssm_1443 fcd_1443;81.00;1443;0;825.23;0.95;0.00;42.53;DEFAULT_VEHTYPE;;1;23.00;251971.16;2080.97;13.92;93.43;19.92;0.00;81685.29
134.00;10873193#2_0;224.37;23.53;60.00;0.15;50211834#0_2;5.10;32.55;tripinfo_1427 emissions_1427 ssm_1427 fcd_1427;74.00;1427;0;822.42;1.17;0.00;43.87;DEFAULT_VEHTYPE;;1;16.00;269451.50;2593.07;17.33;101.89;20.47;0.00;87351.84
135.00;10873191#5_1;21.02;16.27;66.00;0.77;50211834#0_1;5.10;28.33;tripinfo_1868 emissions_1868 ssm_1868 fcd_1868;69.00;1868;0;643.12;1.02;0.00;44.11;DEFAULT_VEHTYPE;;2;19.00;236310.66;1910.86;12.73;86.12;15.69;0.00;76608.28
136.00;10873191#5_2;21.02;13.90;11.00;0.84;50211834#0_0;5.10;28.07;tripinfo_1734 emissions_1734 ssm_1734 fcd_1734;125.00;1734;0;643.12;1.01;0.00;100.10;DEFAULT_VEHTYPE;;2;76.00;314275.35;1889.64;12.62;117.51;15.52;0.00;101884.11
137.00;10873191#5_3;21.02;14.21;71.00;0.31;50211834#0_0;5.10;32.77;tripinfo_1826 emissions_1826 ssm_1826 fcd_1826;66.00;1826;0;640.31;1.18;0.00;44.92;DEFAULT_VEHTYPE;;2;10.00;241869.76;1926.75;12.85;85.47;15.70;0.00;78410.32
138.00;10873191#5_1;21.02;16.90;26.00;0.14;50211834#0_2;5.10;25.75;tripinfo_1772 emissions_1772 ssm_1772 fcd_1772;112.00;1772;0;643.12;0.93;0.00;84.89;DEFAULT_VEHTYPE;;2;61.00;308075.18;1886.45;12.60;113.17;17.26;0.00;99873.88
138.00;10873191#5_3;21.02;14.63;57.00;0.73;50211834#0_0;5.10;32.07;tripinfo_1869 emissions_1869 ssm_1869 fcd_1869;81.00;1869;0;640.31;1.15;0.00;59.37;DEFAULT_VEHTYPE;;2;23.00;238891.22;1581.02;10.55;83.67;13.75;0.00;77444.86
139.00;10873191#5_2;21.02;14.75;35.00;0.00;50211834#0_0;5.10;26.01;tripinfo_1749 emissions_1749 ssm_1749 fcd_1749;104.00;1749;0;643.12;0.94;0.00;77.24;DEFAULT_VEHTYPE;;2;54.00;266778.06;1617.92;10.82;98.81;15.53;0.00;86486.01
140.00;10873193#2_0;224.37;21.38;67.00;0.27;50211834#0_2;5.10;27.04;tripinfo_1554 emissions_1554 ssm_1554 fcd_1554;73.00;1554;0;825.23;0.97;0.00;35.76;DEFAULT_VEHTYPE;;2;13.00;237777.43;2016.51;13.51;87.48;20.60;0.00;77083.89
141.00;10873193#2_0;224.37;23.29;54.00;0.06;50211834#0_2;5.10;31.44;tripinfo_1674 emissions_1674 ssm_1674 fcd_1674;87.00;1674;0;825.23;1.13;0.00;55.83;DEFAULT_VEHTYPE;;2;32.00;282222.05;2550.57;16.98;107.30;18.40;0.00;91491.97
141.00;10873191#5_2;21.02;18.02;106.00;0.76;50211834#0_2;5.10;30.44;tripinfo_1757 emissions_1757 ssm_1757 fcd_1757;35.00;1757;0;643.12;1.10;0.00;11.77;DEFAULT_VEHTYPE;;0;0.00;145505.91;1802.58;12.04;56.73;13.76;0.00;47170.59
144.00;10873193#2_0;224.37;24.78;104.00;0.17;50211834#0_1;5.10;32.47;tripinfo_1630 emissions_1630 ssm_1630 fcd_1630;40.00;1630;0;825.23;1.17;0.00;9.21;DEFAULT_VEHTYPE;;0;0.00;206914.47;2720.69;18.33;81.44;23.46;0.00;67078.35
150.00;305873958#3-AddedOnRampEdge_0;99.87;22.79;89.00;0.12;29181613#1_0;5.10;28.83;tripinfo_826 emissions_826 ssm_826 fcd_826;61.00;826;0;477.81;1.04;0.00;41.02;DEFAULT_VEHTYPE;;1;33.00;180283.00;1481.10;9.94;69.31;13.03;0.00;58445.36
152.00;10873191#5_2;21.02;27.79;60.00;0.93;690516091#0_0;5.10;27.92;tripinfo_1048 emissions_1048 ssm_1048 fcd_1048;92.00;1048;0;714.43;1.01;0.00;65.19;DEFAULT_VEHTYPE;;1;50.00;296608.33;2929.21;19.60;118.18;20.64;0.00;96156.04
152.00;10873193#2_0;224.37;17.86;102.00;0.13;50211834#0_0;5.10;23.75;tripinfo_1692 emissions_1692 ssm_1692 fcd_1692;50.00;1692;0;822.42;0.85;0.00;8.48;DEFAULT_VEHTYPE;;0;0.00;182005.92;1901.85;12.71;68.41;19.16;0.00;59003.50
153.00;10873191#5_2;21.02;27.67;56.00;0.35;28718647#1_0;5.10;26.19;tripinfo_5 emissions_5 ssm_5 fcd_5;97.00;5;0;817.38;1.18;0.00;66.06;DEFAULT_VEHTYPE;;2;43.00;318674.30;2860.48;19.16;122.57;24.01;0.00;103309.43
156.00;10873191#5_2;21.02;26.35;24.00;0.11;690516091#0_0;5.10;31.19;tripinfo_1141 emissions_1141 ssm_1141 fcd_1141;132.00;1141;0;714.43;1.12;0.00;108.34;DEFAULT_VEHTYPE;;2;81.00;359915.01;2592.54;17.38;137.50;19.86;0.00;116679.44
159.00;305873958#3-AddedOnRampEdge_0;99.87;19.24;109.00;0.75;29181613#1_2;5.10;20.29;tripinfo_692 emissions_692 ssm_692 fcd_692;50.00;692;0;477.81;0.90;0.00;26.77;DEFAULT_VEHTYPE;;1;14.00;169799.17;1609.09;10.72;64.18;12.69;0.00;55046.20
160.00;305873958#3-AddedOnRampEdge_0;99.87;21.57;109.00;0.14;29181613#1_3;5.10;19.59;tripinfo_870 emissions_870 ssm_870 fcd_870;51.00;870;0;477.81;1.02;0.00;31.03;DEFAULT_VEHTYPE;;1;13.00;171463.19;1579.56;10.50;64.72;12.42;0.00;55585.68
160.00;10873191#5_2;21.02;26.54;121.00;0.65;690516091#0_0;5.10;27.42;tripinfo_957 emissions_957 ssm_957 fcd_957;39.00;957;0;714.43;0.99;0.00;11.49;DEFAULT_VEHTYPE;;0;0.00;200055.04;2548.92;17.09;78.53;20.72;0.00;64854.50
161.00;192591565#2_0;258.68;26.02;111.00;0.91;29181613#1_3;5.10;19.89;tripinfo_881 emissions_881 ssm_881 fcd_881;50.00;881;0;523.09;0.97;0.00;28.60;DEFAULT_VEHTYPE;;1;12.00;207604.65;2316.58;15.47;81.03;16.97;0.00;67302.01
162.00;10873191#5_2;21.02;26.34;64.00;0.82;690516091#0_0;5.10;27.64;tripinfo_1151 emissions_1151 ssm_1151 fcd_1151;98.00;1151;0;714.43;0.99;0.00;71.25;DEFAULT_VEHTYPE;;2;46.00;284966.39;2333.44;15.66;108.43;19.51;0.00;92382.00
164.00;192591565#2_0;258.68;22.25;17.00;0.92;690516091#0_0;5.10;23.09;tripinfo_1348 emissions_1348 ssm_1348 fcd_1348;147.00;1348;0;903.69;0.83;0.00;105.79;DEFAULT_VEHTYPE;;2;86.00;376825.12;2370.05;15.88;142.38;24.09;0.00;122162.06
165.00;10873191#5_2;21.02;24.09;128.00;0.72;690516091#0_0;5.10;24.51;tripinfo_941 emissions_941 ssm_941 fcd_941;37.00;941;0;714.43;0.88;0.00;5.62;DEFAULT_VEHTYPE;;0;0.00;166208.77;2154.67;14.43;66.11;18.30;0.00;53882.13
166.00;305873958#3-AddedOnRampEdge_3;99.87;19.21;101.00;0.73;690516091#0_0;5.10;24.36;tripinfo_1381 emissions_1381 ssm_1381 fcd_1381;65.00;1381;0;654.28;0.88;0.00;33.73;DEFAULT_VEHTYPE;;2;14.00;199051.98;1491.98;10.01;72.21;17.07;0.00;64529.82
166.00;192591565#2_0;258.68;27.80;139.00;0.26;29181613#1_0;5.10;28.42;tripinfo_917 emissions_917 ssm_917 fcd_917;27.00;917;0;523.09;1.02;0.00;7.42;DEFAULT_VEHTYPE;;0;0.00;151691.37;2069.42;13.84;60.94;14.95;0.00;49175.67
171.00;10873191#5_2;21.02;24.54;19.00;0.61;28718647#1_0;5.10;19.69;tripinfo_9 emissions_9 ssm_9 fcd_9;152.00;9;0;817.38;0.89;0.00;111.29;DEFAULT_VEHTYPE;;3;82.00;370405.72;2072.71;13.85;138.29;21.59;0.00;120080.89
175.00;192591565#2_0;258.68;26.19;40.00;0.97;28718647#1_0;5.10;21.66;tripinfo_141 emissions_141 ssm_141 fcd_141;135.00;141;0;1006.64;0.97;0.00;89.57;DEFAULT_VEHTYPE;;2;49.00;398948.66;3179.43;21.23;149.83;27.89;0.00;129333.41
176.00;10873191#5_2;21.02;24.42;73.00;0.14;690516091#0_0;5.10;25.02;tripinfo_1073 emissions_1073 ssm_1073 fcd_1073;103.00;1073;0;714.43;0.90;0.00;73.11;DEFAULT_VEHTYPE;;2;49.00;284682.56;1988.55;13.35;106.28;20.17;0.00;92290.22
178.00;10873191#5_2;21.02;27.82;90.00;0.86;690516091#0_0;5.10;28.99;tripinfo_1003 emissions_1003 ssm_1003 fcd_1003;88.00;1003;0;714.43;1.04;0.00;61.45;DEFAULT_VEHTYPE;;4;34.00;299089.55;2691.78;18.00;112.85;20.34;0.00;96959.91
179.00;192591565#2_0;258.68;27.01;146.00;0.14;29181613#1_0;5.10;27.03;tripinfo_645 emissions_645 ssm_645 fcd_645;33.00;645;0;523.09;0.97;0.00;11.65;DEFAULT_VEHTYPE;;0;0.00;162754.35;1999.67;13.41;63.08;16.29;0.00;52762.20
182.00;192591565#2_0;258.68;23.48;28.00;0.52;28718647#1_0;5.10;19.52;tripinfo_60 emissions_60 ssm_60 fcd_60;154.00;60;0;1006.64;0.88;0.00;104.83;DEFAULT_VEHTYPE;;3;78.00;402564.18;2556.12;17.09;150.63;27.31;0.00;130506.04
